# F3 closed-form candidate test.  theta = 0.384 +- 0.003  ->  window [0.381, 0.387] (width 0.006)
# 26 candidates tested; values span [0.2337, 0.7841] (range 0.5504)
# expected inside by chance if uniform over that range: 0.28;  found: 3
#
# verdict   candidate                 value  |value-theta|
  excluded  pi^2/8 - 1             0.233701  0.15030
  excluded  1 - 2/e                0.264241  0.11976
  excluded  4/pi - 1               0.273240  0.11076
  excluded  1 - 1/(2 ln 2)         0.278652  0.10535
  excluded  3 - e                  0.281718  0.10228
  excluded  3/pi^2                 0.303964  0.08004
  excluded  pi^2/6 - 4/3           0.311601  0.07240
  excluded  (pi^2 - 6)/12          0.322467  0.06153
  excluded  1/3                    0.333333  0.05067
  excluded  1/2 - 1/(2 pi)         0.340845  0.04315
  excluded  1 - pi/8 - 1/4         0.357301  0.02670
  excluded  1 - 2/pi               0.363380  0.02062
  excluded  1/e                    0.367879  0.01612
  excluded  3/8                    0.375000  0.00900
  INSIDE    1 - pi^2/16            0.383150  0.00085
  INSIDE    2 ln 2 - 1             0.386294  0.00229
  INSIDE    2/pi - 1/4             0.386620  0.00262
  excluded  7/18                   0.388889  0.00489
  excluded  pi/8                   0.392699  0.00870
  excluded  (4 - pi)/(pi - 1)      0.400827  0.01683
  excluded  pi^2/24                0.411234  0.02723
  excluded  1/(2 ln 2) - 1/4       0.471348  0.08735
  excluded  (ln 2)^2               0.480453  0.09645
  excluded  1 - 3/(2 pi)           0.522535  0.13854
  excluded  ln 2/(2 - ln 2)        0.530394  0.14639
  excluded  2 - 12/pi^2            0.784146  0.40015
#
# inside the window: 1 - pi^2/16 = 0.383150, 2 ln 2 - 1 = 0.386294, 2/pi - 1/4 = 0.386620
# NO SELECTION IS MADE: with 26 candidates and a window of width 0.006, 3 hits against an expectation of 0.28 is not evidence, and the candidate list is not uniform (it clusters in 0.25-0.45).  A closed form must come from solving the Wiener-Hopf problem of exact_optimum_tangent_problem.tex eq:thetaWH, not from fitting.
